年次,市区町村コード,全国，都道府県，市区町村,夜間人口
2020年,1457,上川町,3500
2020年,1458,東川町,8314
2020年,1459,美瑛町,9668
2020年,1460,上富良野町,10348
2020年,1461,中富良野町,4733
2020年,1462,南富良野町,2376
2020年,1463,占冠村,1306
2020年,1464,和寒町,3192
2020年,1465,剣淵町,2926
2020年,1468,下川町,3126
2020年,1469,美深町,4145
2020年,1470,音威子府村,706
2020年,1471,中川町,1528
2020年,1472,幌加内町,1370
2020年,1481,増毛町,3908
2020年,1482,小平町,2994
2020年,1483,苫前町,2936
2020年,1484,羽幌町,6548
2020年,1485,初山別村,1080
2020年,1486,遠別町,2520
2020年,1487,天塩町,2950
2020年,1511,猿払村,2611
2020年,1512,浜頓別町,3448
2020年,1513,中頓別町,1637
2020年,1514,枝幸町,7565
2020年,1516,豊富町,3974
2020年,1517,礼文町,2509
2020年,1518,利尻町,2004
2020年,1519,利尻富士町,2458
2020年,1520,幌延町,2371
2020年,1543,美幌町,18697
2020年,1544,津別町,4373
2020年,1545,斜里町,11418
2020年,1546,清里町,3883
2020年,1547,小清水町,4623
2020年,1549,訓子府町,4677
2020年,1550,置戸町,2775
2020年,1552,佐呂間町,4875
2020年,1555,遠軽町,19241
2020年,1559,湧別町,8270
2020年,1560,滝上町,2421
2020年,1561,興部町,3628
2020年,1562,西興部村,1053
2020年,1563,雄武町,4199
2020年,1564,大空町,6775
2020年,1571,豊浦町,3821
2020年,1575,壮瞥町,2743
2020年,1578,白老町,16212
2020年,1581,厚真町,4432
2020年,1584,洞爺湖町,8442
2020年,1585,安平町,7340
2020年,1586,むかわ町,7651
2020年,1601,日高町,11279
2020年,1602,平取町,4776
2020年,1604,新冠町,5309
2020年,1607,浦河町,12074
2020年,1608,様似町,4043
2020年,1609,えりも町,4374
2020年,1610,新ひだか町,21517
2020年,1631,音更町,43576
2020年,1632,士幌町,5848
2020年,1633,上士幌町,4778
2020年,1634,鹿追町,5266
2020年,1635,新得町,5817
2020年,1636,清水町,9094
2020年,1637,芽室町,18048
2020年,1638,中札内村,3884
2020年,1639,更別村,3080
2020年,1641,大樹町,5420
2020年,1642,広尾町,6387
2020年,1643,幕別町,25766
2020年,1644,池田町,6294
2020年,1645,豊頃町,3022
2020年,1646,本別町,6618
2020年,1647,足寄町,6563
2020年,1648,陸別町,2264
2020年,1649,浦幌町,4387
2020年,1661,釧路町,19105
2020年,1662,厚岸町,8892
2020年,1663,浜中町,5507
2020年,1664,標茶町,7230
2020年,1665,弟子屈町,6955
2020年,1667,鶴居村,2558
2020年,1668,白糠町,7289
2020年,1691,別海町,14380
2020年,1692,中標津町,23010
2020年,1693,標津町,5023
2020年,1694,羅臼町,4722
2020年,2000,青森県,1237984
2020年,2201,青森市,275192
2020年,2202,弘前市,168466
2020年,2203,八戸市,223415
2020年,2204,黒石市,31946
2020年,2205,五所川原市,51415
2020年,2206,十和田市,60378
2020年,2207,三沢市,39152
2020年,2208,むつ市,54103
2020年,2209,つがる市,30934
2020年,2210,平川市,30567
2020年,2301,平内町,10126
2020年,2303,今別町,2334
2020年,2304,蓬田村,2540
2020年,2307,外ヶ浜町,5401
2020年,2321,鰺ヶ沢町,9044
2020年,2323,深浦町,7346
