年次,市区町村コード,全国，都道府県，市区町村,昼間人口
2020年,33666,美咲町,"12,021"
2020年,33681,吉備中央町,"11,330"
2020年,34000,広島県,"2,804,391"
2020年,34100,広島市,"1,214,150"
2020年,34101,広島市中区,"230,518"
2020年,34102,広島市東区,"106,629"
2020年,34103,広島市南区,"163,294"
2020年,34104,広島市西区,"186,974"
2020年,34105,広島市安佐南区,"216,376"
2020年,34106,広島市安佐北区,"124,623"
2020年,34107,広島市安芸区,"64,663"
2020年,34108,広島市佐伯区,"121,073"
2020年,34202,呉市,"212,083"
2020年,34203,竹原市,"23,534"
2020年,34204,三原市,"90,528"
2020年,34205,尾道市,"132,442"
2020年,34207,福山市,"459,916"
2020年,34208,府中市,"39,303"
2020年,34209,三次市,"51,303"
2020年,34210,庄原市,"34,077"
2020年,34211,大竹市,"27,650"
2020年,34212,東広島市,"196,038"
2020年,34213,廿日市市,"104,221"
2020年,34214,安芸高田市,"27,628"
2020年,34215,江田島市,"21,133"
2020年,34302,府中町,"52,565"
2020年,34304,海田町,"29,284"
2020年,34307,熊野町,"18,119"
2020年,34309,坂町,"14,332"
2020年,34368,安芸太田町,"5,957"
2020年,34369,北広島町,"19,711"
2020年,34431,大崎上島町,"7,783"
2020年,34462,世羅町,"14,547"
2020年,34545,神石高原町,"8,087"
2020年,35000,山口県,"1,337,116"
2020年,35201,下関市,"251,527"
2020年,35202,宇部市,"162,259"
2020年,35203,山口市,"196,594"
2020年,35204,萩市,"44,179"
2020年,35206,防府市,"112,481"
2020年,35207,下松市,"56,245"
2020年,35208,岩国市,"127,557"
2020年,35210,光市,"47,522"
2020年,35211,長門市,"31,917"
2020年,35212,柳井市,"31,822"
2020年,35213,美祢市,"24,133"
2020年,35215,周南市,"142,779"
2020年,35216,山陽小野田市,"58,741"
2020年,35305,周防大島町,"15,150"
2020年,35321,和木町,"5,486"
2020年,35341,上関町,"2,235"
2020年,35343,田布施町,"12,815"
2020年,35344,平生町,"10,797"
2020年,35502,阿武町,"2,877"
2020年,36000,徳島県,"716,742"
2020年,36201,徳島市,"270,257"
2020年,36202,鳴門市,"53,012"
2020年,36203,小松島市,"34,635"
2020年,36204,阿南市,"70,742"
2020年,36205,吉野川市,"35,951"
2020年,36206,阿波市,"31,481"
2020年,36207,美馬市,"27,626"
2020年,36208,三好市,"24,611"
2020年,36301,勝浦町,"4,687"
2020年,36302,上勝町,"1,436"
2020年,36321,佐那河内村,"1,745"
2020年,36341,石井町,"21,363"
2020年,36342,神山町,"4,464"
2020年,36368,那賀町,"7,595"
2020年,36383,牟岐町,"3,730"
2020年,36387,美波町,"6,134"
2020年,36388,海陽町,"8,283"
2020年,36401,松茂町,"15,444"
2020年,36402,北島町,"20,360"
2020年,36403,藍住町,"30,500"
2020年,36404,板野町,"12,956"
2020年,36405,上板町,"9,957"
2020年,36468,つるぎ町,"8,077"
2020年,36489,東みよし町,"11,696"
2020年,37000,香川県,"951,166"
2020年,37201,高松市,"429,546"
2020年,37202,丸亀市,"103,625"
2020年,37203,坂出市,"57,385"
2020年,37204,善通寺市,"31,841"
2020年,37205,観音寺市,"58,551"
2020年,37206,さぬき市,"44,269"
2020年,37207,東かがわ市,"27,648"
2020年,37208,三豊市,"58,483"
2020年,37322,土庄町,"12,256"
2020年,37324,小豆島町,"14,336"
2020年,37341,三木町,"24,517"
2020年,37364,直島町,"3,572"
2020年,37386,宇多津町,"17,880"
2020年,37387,綾川町,"21,665"
2020年,37403,琴平町,"8,566"
2020年,37404,多度津町,"21,562"
2020年,37406,まんのう町,"15,464"
2020年,38000,愛媛県,"1,335,870"
2020年,38201,松山市,"517,165"
2020年,38202,今治市,"153,100"
2020年,38203,宇和島市,"71,837"
2020年,38204,八幡浜市,"32,588"
2020年,38205,新居浜市,"118,099"
2020年,38206,西条市,"101,668"
2020年,38207,大洲市,"41,308"
2020年,38210,伊予市,"31,538"
2020年,38213,四国中央市,"84,126"
2020年,38214,西予市,"34,544"
2020年,38215,東温市,"35,699"
2020年,38356,上島町,"6,640"
2020年,38386,久万高原町,"7,739"
2020年,38401,松前町,"27,575"
2020年,38402,砥部町,"17,773"
2020年,38422,内子町,"14,185"
2020年,38442,伊方町,"9,031"
2020年,38484,松野町,"3,282"
2020年,38488,鬼北町,"9,109"
2020年,38506,愛南町,"18,864"
2020年,39000,高知県,"690,797"
2020年,39201,高知市,"332,614"
2020年,39202,室戸市,"11,705"
2020年,39203,安芸市,"16,699"
2020年,39204,南国市,"50,873"
2020年,39205,土佐市,"24,280"
2020年,39206,須崎市,"21,760"
2020年,39208,宿毛市,"19,673"
2020年,39209,土佐清水市,"12,013"
2020年,39210,四万十市,"33,543"
2020年,39211,香南市,"27,252"
2020年,39212,香美市,"25,487"
2020年,39301,東洋町,"2,058"
2020年,39302,奈半利町,"2,981"
2020年,39303,田野町,"2,644"
2020年,39304,安田町,"2,095"
2020年,39305,北川村,"1,194"
2020年,39306,馬路村,821
2020年,39307,芸西村,"3,691"
2020年,39341,本山町,"3,394"
2020年,39344,大豊町,"3,309"
2020年,39363,土佐町,"3,713"
2020年,39364,大川村,389
2020年,39386,いの町,"19,088"
2020年,39387,仁淀川町,"5,114"
2020年,39401,中土佐町,"5,614"
2020年,39402,佐川町,"10,862"
2020年,39403,越知町,"5,020"
2020年,39405,檮原町,"3,310"
2020年,39410,日高村,"4,753"
2020年,39411,津野町,"4,618"
2020年,39412,四万十町,"15,567"
2020年,39424,大月町,"4,123"
2020年,39427,三原村,"1,312"
2020年,39428,黒潮町,"9,228"
2020年,40000,福岡県,"5,139,579"
2020年,40100,北九州市,"958,487"
2020年,40101,北九州市門司区,"92,349"
2020年,40103,北九州市若松区,"82,537"
2020年,40105,北九州市戸畑区,"67,367"
2020年,40106,北九州市小倉北区,"221,874"
2020年,40107,北九州市小倉南区,"187,843"
2020年,40108,北九州市八幡東区,"69,417"
2020年,40109,北九州市八幡西区,"237,100"
2020年,40130,福岡市,"1,753,857"
2020年,40131,福岡市東区,"311,606"
2020年,40132,福岡市博多区,"401,756"
2020年,40133,福岡市中央区,"306,659"
2020年,40134,福岡市南区,"227,314"
2020年,40135,福岡市西区,"190,260"
2020年,40136,福岡市城南区,"119,274"
2020年,40137,福岡市早良区,"196,988"
2020年,40202,大牟田市,"116,961"
2020年,40203,久留米市,"300,236"
2020年,40204,直方市,"60,237"
2020年,40205,飯塚市,"127,727"
2020年,40206,田川市,"50,019"
2020年,40207,柳川市,"60,329"
2020年,40210,八女市,"62,587"
2020年,40211,筑後市,"46,857"
2020年,40212,大川市,"33,574"
2020年,40213,行橋市,"65,614"
2020年,40214,豊前市,"25,307"
2020年,40215,中間市,"35,414"
2020年,40216,小郡市,"49,493"
2020年,40217,筑紫野市,"93,137"
2020年,40218,春日市,"90,865"
2020年,40219,大野城市,"89,843"
2020年,40220,宗像市,"83,243"
2020年,40221,太宰府市,"67,462"
2020年,40223,古賀市,"57,308"
2020年,40224,福津市,"56,554"
2020年,40225,うきは市,"26,268"
2020年,40226,宮若市,"35,101"
2020年,40227,嘉麻市,"32,968"
2020年,40228,朝倉市,"54,369"
2020年,40229,みやま市,"31,938"
2020年,40230,糸島市,"82,400"
2020年,40231,那珂川市,"41,920"
2020年,40341,宇美町,"33,438"
2020年,40342,篠栗町,"25,356"
2020年,40343,志免町,"40,705"
2020年,40344,須恵町,"26,258"
2020年,40345,新宮町,"32,502"
2020年,40348,久山町,"12,013"
2020年,40349,粕屋町,"45,461"
2020年,40381,芦屋町,"12,085"
2020年,40382,水巻町,"23,415"
2020年,40383,岡垣町,"24,805"
2020年,40384,遠賀町,"17,013"
2020年,40401,小竹町,"6,887"
2020年,40402,鞍手町,"15,032"
2020年,40421,桂川町,"10,214"
2020年,40447,筑前町,"24,557"
2020年,40448,東峰村,"1,827"
2020年,40503,大刀洗町,"13,623"
2020年,40522,大木町,"11,403"
2020年,40544,広川町,"19,767"
2020年,40601,香春町,"9,254"
2020年,40602,添田町,"7,351"
2020年,40604,糸田町,"6,589"
2020年,40605,川崎町,"13,463"
2020年,40608,大任町,"4,428"
2020年,40609,赤村,"2,291"
2020年,40610,福智町,"18,749"
2020年,40621,苅田町,"45,535"
2020年,40625,みやこ町,"17,483"
2020年,40642,吉富町,"5,827"
2020年,40646,上毛町,"6,426"
2020年,40647,築上町,"15,747"
2020年,41000,佐賀県,"814,329"
2020年,41201,佐賀市,"248,170"
2020年,41202,唐津市,"113,603"
2020年,41203,鳥栖市,"81,762"
2020年,41204,多久市,"17,792"
2020年,41205,伊万里市,"55,501"
2020年,41206,武雄市,"47,149"
2020年,41207,鹿島市,"26,988"
2020年,41208,小城市,"36,744"
2020年,41209,嬉野市,"24,658"
2020年,41210,神埼市,"29,403"
2020年,41327,吉野ヶ里町,"16,156"
2020年,41341,基山町,"16,629"
2020年,41345,上峰町,"8,795"
2020年,41346,みやき町,"23,965"
2020年,41387,玄海町,"6,920"
2020年,41401,有田町,"17,999"
2020年,41423,大町町,"6,346"
2020年,41424,江北町,"8,191"
2020年,41425,白石町,"20,270"
2020年,41441,太良町,"7,288"
2020年,42000,長崎県,"1,308,945"
2020年,42201,長崎市,"419,495"
2020年,42202,佐世保市,"246,816"
2020年,42203,島原市,"45,200"
2020年,42204,諫早市,"137,665"
2020年,42205,大村市,"91,383"
2020年,42207,平戸市,"28,649"
2020年,42208,松浦市,"21,337"
2020年,42209,対馬市,"28,527"
2020年,42210,壱岐市,"24,831"
2020年,42211,五島市,"34,321"
2020年,42212,西海市,"26,870"
2020年,42213,雲仙市,"38,613"
2020年,42214,南島原市,"39,807"
2020年,42307,長与町,"31,218"
2020年,42308,時津町,"29,648"
2020年,42321,東彼杵町,"7,394"
2020年,42322,川棚町,"12,108"
2020年,42323,波佐見町,"13,199"
2020年,42383,小値賀町,"2,291"
2020年,42391,佐々町,"12,380"
2020年,42411,新上五島町,"17,193"
2020年,43000,熊本県,"1,732,011"
2020年,43100,熊本市,"750,814"
2020年,43101,熊本市中央区,"234,744"
2020年,43102,熊本市東区,"177,541"
2020年,43103,熊本市西区,"87,332"
2020年,43104,熊本市南区,"124,786"
2020年,43105,熊本市北区,"126,411"
2020年,43202,八代市,"122,876"
2020年,43203,人吉市,"33,838"
2020年,43204,荒尾市,"44,938"
2020年,43205,水俣市,"24,694"
2020年,43206,玉名市,"62,390"
2020年,43208,山鹿市,"47,447"
2020年,43210,菊池市,"49,300"
2020年,43211,宇土市,"33,324"
2020年,43212,上天草市,"23,682"
2020年,43213,宇城市,"55,586"
2020年,43214,阿蘇市,"26,188"
2020年,43215,天草市,"75,140"
2020年,43216,合志市,"55,406"
2020年,43348,美里町,"8,390"
2020年,43364,玉東町,"4,027"
2020年,43367,南関町,"9,689"
2020年,43368,長洲町,"16,221"
2020年,43369,和水町,"8,895"
2020年,43403,大津町,"38,105"
2020年,43404,菊陽町,"42,496"
2020年,43423,南小国町,"3,779"
2020年,43424,小国町,"6,537"
2020年,43425,産山村,"1,319"
2020年,43428,高森町,"5,835"
2020年,43432,西原村,"6,848"
2020年,43433,南阿蘇村,"9,384"
2020年,43441,御船町,"15,061"
2020年,43442,嘉島町,"12,058"
2020年,43443,益城町,"31,735"
2020年,43444,甲佐町,"9,532"
2020年,43447,山都町,"13,563"
2020年,43468,氷川町,"9,493"
2020年,43482,芦北町,"15,078"
2020年,43484,津奈木町,"3,496"
2020年,43501,錦町,"9,881"
2020年,43505,多良木町,"9,051"
2020年,43506,湯前町,"3,158"
2020年,43507,水上村,"1,902"
2020年,43510,相良村,"3,893"
2020年,43511,五木村,"1,040"
2020年,43512,山江村,"2,496"
2020年,43513,球磨村,"2,186"
2020年,43514,あさぎり町,"13,876"
2020年,43531,苓北町,"7,364"
2020年,44000,大分県,"1,123,160"
2020年,44201,大分市,"481,509"
2020年,44202,別府市,"114,198"
2020年,44203,中津市,"84,524"
2020年,44204,日田市,"62,873"
2020年,44205,佐伯市,"66,477"
2020年,44206,臼杵市,"34,580"
2020年,44207,津久見市,"16,500"
2020年,44208,竹田市,"21,460"
2020年,44209,豊後高田市,"22,256"
2020年,44210,杵築市,"26,853"
2020年,44211,宇佐市,"51,349"
2020年,44212,豊後大野市,"32,939"
2020年,44213,由布市,"32,247"
2020年,44214,国東市,"27,360"
2020年,44322,姫島村,"1,647"
2020年,44341,日出町,"24,018"
2020年,44461,九重町,"8,278"
2020年,44462,玖珠町,"14,092"
2020年,45000,宮崎県,"1,068,793"
2020年,45201,宮崎市,"406,619"
2020年,45202,都城市,"166,384"
2020年,45203,延岡市,"119,936"
2020年,45204,日南市,"50,347"
2020年,45205,小林市,"43,763"
2020年,45206,日向市,"59,389"
2020年,45207,串間市,"16,362"
2020年,45208,西都市,"28,343"
2020年,45209,えびの市,"17,846"
2020年,45341,三股町,"20,825"
2020年,45361,高原町,"7,797"
2020年,45382,国富町,"17,184"
2020年,45383,綾町,"6,288"
2020年,45401,高鍋町,"20,226"
2020年,45402,新富町,"15,133"
2020年,45403,西米良村,"1,072"
2020年,45404,木城町,"4,208"
2020年,45405,川南町,"15,323"
2020年,45406,都農町,"9,079"
2020年,45421,門川町,"15,320"
2020年,45429,諸塚村,"1,530"
2020年,45430,椎葉村,"2,572"
2020年,45431,美郷町,"4,803"
2020年,45441,高千穂町,"11,721"
2020年,45442,日之影町,"3,478"
2020年,45443,五ヶ瀬町,"3,245"
2020年,46000,鹿児島県,"1,586,642"
2020年,46201,鹿児島市,"599,331"
2020年,46203,鹿屋市,"101,738"
2020年,46204,枕崎市,"19,870"
2020年,46206,阿久根市,"19,390"
2020年,46208,出水市,"51,609"
2020年,46210,指宿市,"38,794"
2020年,46213,西之表市,"14,597"
2020年,46214,垂水市,"13,452"
2020年,46215,薩摩川内市,"93,828"
2020年,46216,日置市,"44,839"
2020年,46217,曽於市,"32,215"
2020年,46218,霧島市,"124,105"
2020年,46219,いちき串木野市,"27,150"
2020年,46220,南さつま市,"33,358"
2020年,46221,志布志市,"30,507"
2020年,46222,奄美市,"41,609"
2020年,46223,南九州市,"33,337"
2020年,46224,伊佐市,"24,272"
2020年,46225,姶良市,"70,249"
2020年,46303,三島村,406
2020年,46304,十島村,748
2020年,46392,さつま町,"20,857"
2020年,46404,長島町,"9,106"
2020年,46452,湧水町,"8,905"
2020年,46468,大崎町,"11,882"
2020年,46482,東串良町,"5,885"
2020年,46490,錦江町,"6,827"
2020年,46491,南大隅町,"6,458"
2020年,46492,肝付町,"13,608"
2020年,46501,中種子町,"7,549"
2020年,46502,南種子町,"5,570"
2020年,46505,屋久島町,"11,899"
2020年,46523,大和村,"1,243"
2020年,46524,宇検村,"1,672"
2020年,46525,瀬戸内町,"8,649"
2020年,46527,龍郷町,"5,626"
2020年,46529,喜界町,"6,626"
2020年,46530,徳之島町,"10,576"
2020年,46531,天城町,"5,469"
2020年,46532,伊仙町,"5,726"
2020年,46533,和泊町,"6,091"
2020年,46534,知名町,"5,901"
2020年,46535,与論町,"5,113"
2020年,47000,沖縄県,"1,467,261"
2020年,47201,那覇市,"347,019"
2020年,47205,宜野湾市,"95,322"
2020年,47207,石垣市,"47,677"
2020年,47208,浦添市,"118,263"
2020年,47209,名護市,"66,316"
2020年,47210,糸満市,"57,010"
2020年,47211,沖縄市,"138,249"
2020年,47212,豊見城市,"59,862"
2020年,47213,うるま市,"121,909"
2020年,47214,宮古島市,"53,104"
2020年,47215,南城市,"37,333"
2020年,47301,国頭村,"4,310"
2020年,47302,大宜味村,"3,035"
2020年,47303,東村,"1,602"
2020年,47306,今帰仁村,"8,287"
2020年,47308,本部町,"12,994"
2020年,47311,恩納村,"13,522"
2020年,47313,宜野座村,"5,356"
2020年,47314,金武町,"10,654"
2020年,47315,伊江村,"4,088"
2020年,47324,読谷村,"35,866"
2020年,47325,嘉手納町,"14,790"
2020年,47326,北谷町,"29,482"
2020年,47327,北中城村,"18,248"
2020年,47328,中城村,"19,518"
2020年,47329,西原町,"40,034"
2020年,47348,与那原町,"17,939"
2020年,47350,南風原町,"37,900"
2020年,47353,渡嘉敷村,721
2020年,47354,座間味村,913
2020年,47355,粟国村,682
2020年,47356,渡名喜村,341
2020年,47357,南大東村,"1,297"
2020年,47358,北大東村,605
2020年,47359,伊平屋村,"1,129"
2020年,47360,伊是名村,"1,328"
2020年,47361,久米島町,"7,204"
2020年,47362,八重瀬町,"26,591"
2020年,47375,多良間村,"1,030"
2020年,47381,竹富町,"4,048"
2020年,47382,与那国町,"1,683"
