年次,市区町村コード,全国，都道府県，市区町村,昼間人口
2020年,6365,大蔵村,"2,512"
2020年,6366,鮭川村,"3,458"
2020年,6367,戸沢村,"3,497"
2020年,6381,高畠町,"19,639"
2020年,6382,川西町,"14,003"
2020年,6401,小国町,"7,188"
2020年,6402,白鷹町,"11,453"
2020年,6403,飯豊町,"6,265"
2020年,6426,三川町,"8,553"
2020年,6428,庄内町,"16,861"
2020年,6461,遊佐町,"10,921"
2020年,7000,福島県,"1,834,689"
2020年,7201,福島市,"290,714"
2020年,7202,会津若松市,"123,606"
2020年,7203,郡山市,"339,929"
2020年,7204,いわき市,"327,435"
2020年,7205,白河市,"60,182"
2020年,7207,須賀川市,"70,923"
2020年,7208,喜多方市,"42,360"
2020年,7209,相馬市,"34,385"
2020年,7210,二本松市,"50,861"
2020年,7211,田村市,"32,313"
2020年,7212,南相馬市,"59,781"
2020年,7213,伊達市,"52,114"
2020年,7214,本宮市,"30,962"
2020年,7301,桑折町,"10,836"
2020年,7303,国見町,"7,671"
2020年,7308,川俣町,"11,989"
2020年,7322,大玉村,"7,067"
2020年,7342,鏡石町,"11,619"
2020年,7344,天栄村,"4,768"
2020年,7362,下郷町,"4,875"
2020年,7364,檜枝岐村,537
2020年,7367,只見町,"4,048"
2020年,7368,南会津町,"14,531"
2020年,7402,北塩原村,"2,508"
2020年,7405,西会津町,"5,373"
2020年,7407,磐梯町,"4,340"
2020年,7408,猪苗代町,"12,388"
2020年,7421,会津坂下町,"14,015"
2020年,7422,湯川村,"2,569"
2020年,7423,柳津町,"2,937"
2020年,7444,三島町,"1,502"
2020年,7445,金山町,"1,999"
2020年,7446,昭和村,"1,283"
2020年,7447,会津美里町,"15,555"
2020年,7461,西郷村,"20,679"
2020年,7464,泉崎村,"7,479"
2020年,7465,中島村,"4,236"
2020年,7466,矢吹町,"17,441"
2020年,7481,棚倉町,"13,273"
2020年,7482,矢祭町,"5,249"
2020年,7483,塙町,"8,170"
2020年,7484,鮫川村,"2,561"
2020年,7501,石川町,"14,590"
2020年,7502,玉川村,"5,832"
2020年,7503,平田村,"5,060"
2020年,7504,浅川町,"5,061"
2020年,7505,古殿町,"4,244"
2020年,7521,三春町,"15,241"
2020年,7522,小野町,"8,836"
2020年,7541,広野町,"6,624"
2020年,7542,楢葉町,"5,369"
2020年,7543,富岡町,"4,334"
2020年,7544,川内村,"2,258"
2020年,7545,大熊町,"4,985"
2020年,7546,双葉町,997
2020年,7547,浪江町,"3,894"
2020年,7548,葛尾村,810
2020年,7561,新地町,"7,261"
2020年,7564,飯舘村,"2,230"
2020年,8000,茨城県,"2,803,334"
2020年,8201,水戸市,"295,673"
2020年,8202,日立市,"185,583"
2020年,8203,土浦市,"155,055"
2020年,8204,古河市,"132,261"
2020年,8205,石岡市,"68,362"
2020年,8207,結城市,"47,075"
2020年,8208,龍ケ崎市,"68,010"
2020年,8210,下妻市,"41,805"
2020年,8211,常総市,"62,548"
2020年,8212,常陸太田市,"41,370"
2020年,8214,高萩市,"25,802"
2020年,8215,北茨城市,"39,633"
2020年,8216,笠間市,"67,187"
2020年,8217,取手市,"93,616"
2020年,8219,牛久市,"73,549"
2020年,8220,つくば市,"254,873"
2020年,8221,ひたちなか市,"152,640"
2020年,8222,鹿嶋市,"70,557"
2020年,8223,潮来市,"23,952"
2020年,8224,守谷市,"57,936"
2020年,8225,常陸大宮市,"37,315"
2020年,8226,那珂市,"46,175"
2020年,8227,筑西市,"97,062"
2020年,8228,坂東市,"48,752"
2020年,8229,稲敷市,"38,254"
2020年,8230,かすみがうら市,"34,360"
2020年,8231,桜川市,"34,998"
2020年,8232,神栖市,"99,679"
2020年,8233,行方市,"29,320"
2020年,8234,鉾田市,"42,479"
2020年,8235,つくばみらい市,"44,185"
2020年,8236,小美玉市,"47,969"
2020年,8302,茨城町,"29,503"
2020年,8309,大洗町,"15,774"
2020年,8310,城里町,"14,309"
2020年,8341,東海村,"37,688"
2020年,8364,大子町,"14,926"
2020年,8442,美浦村,"14,298"
2020年,8443,阿見町,"45,476"
2020年,8447,河内町,"6,623"
2020年,8521,八千代町,"19,191"
2020年,8542,五霞町,"12,145"
2020年,8546,境町,"23,838"
2020年,8564,利根町,"11,528"
2020年,9000,栃木県,"1,914,836"
2020年,9201,宇都宮市,"535,910"
2020年,9202,足利市,"139,278"
2020年,9203,栃木市,"149,917"
2020年,9204,佐野市,"115,777"
2020年,9205,鹿沼市,"91,763"
2020年,9206,日光市,"74,206"
2020年,9208,小山市,"166,913"
2020年,9209,真岡市,"76,697"
2020年,9210,大田原市,"76,069"
2020年,9211,矢板市,"29,511"
2020年,9213,那須塩原市,"108,819"
2020年,9214,さくら市,"40,959"
2020年,9215,那須烏山市,"23,688"
2020年,9216,下野市,"54,539"
2020年,9301,上三川町,"30,706"
2020年,9342,益子町,"18,111"
2020年,9343,茂木町,"10,590"
2020年,9344,市貝町,"10,253"
2020年,9345,芳賀町,"30,033"
2020年,9361,壬生町,"36,735"
2020年,9364,野木町,"21,568"
2020年,9384,塩谷町,"8,904"
2020年,9386,高根沢町,"24,695"
2020年,9407,那須町,"25,387"
2020年,9411,那珂川町,"13,808"
2020年,10000,群馬県,"1,938,160"
2020年,10201,前橋市,"345,559"
2020年,10202,高崎市,"378,922"
2020年,10203,桐生市,"105,101"
2020年,10204,伊勢崎市,"206,747"
2020年,10205,太田市,"240,298"
2020年,10206,沼田市,"44,211"
2020年,10207,館林市,"72,354"
2020年,10208,渋川市,"72,441"
2020年,10209,藤岡市,"60,431"
2020年,10210,富岡市,"49,092"
2020年,10211,安中市,"51,691"
2020年,10212,みどり市,"43,450"
2020年,10344,榛東村,"11,216"
2020年,10345,吉岡町,"16,825"
2020年,10366,上野村,"1,151"
2020年,10367,神流町,"1,727"
2020年,10382,下仁田町,"6,273"
2020年,10383,南牧村,"1,488"
2020年,10384,甘楽町,"10,635"
2020年,10421,中之条町,"14,513"
2020年,10424,長野原町,"5,526"
2020年,10425,嬬恋村,"8,699"
2020年,10426,草津町,"6,543"
2020年,10428,高山村,"3,000"
2020年,10429,東吾妻町,"12,521"
2020年,10443,片品村,"3,903"
2020年,10444,川場村,"3,520"
2020年,10448,昭和村,"6,988"
2020年,10449,みなかみ町,"16,353"
2020年,10464,玉村町,"32,591"
2020年,10521,板倉町,"14,135"
2020年,10522,明和町,"11,960"
2020年,10523,千代田町,"12,314"
2020年,10524,大泉町,"41,962"
2020年,10525,邑楽町,"24,020"
2020年,11000,埼玉県,"6,581,578"
2020年,11100,さいたま市,"1,229,480"
2020年,11101,さいたま市西区,"81,076"
2020年,11102,さいたま市北区,"135,171"
2020年,11103,さいたま市大宮区,"161,249"
2020年,11104,さいたま市見沼区,"136,870"
2020年,11105,さいたま市中央区,"103,692"
2020年,11106,さいたま市桜区,"84,905"
2020年,11107,さいたま市浦和区,"162,467"
2020年,11108,さいたま市南区,"146,280"
2020年,11109,さいたま市緑区,"103,402"
2020年,11110,さいたま市岩槻区,"114,368"
2020年,11201,川越市,"343,052"
2020年,11202,熊谷市,"189,466"
2020年,11203,川口市,"490,197"
2020年,11206,行田市,"72,909"
2020年,11207,秩父市,"57,673"
2020年,11208,所沢市,"298,938"
2020年,11209,飯能市,"73,398"
2020年,11210,加須市,"106,419"
2020年,11211,本庄市,"79,878"
2020年,11212,東松山市,"94,194"
2020年,11214,春日部市,"196,819"
2020年,11215,狭山市,"141,364"
2020年,11216,羽生市,"51,712"
2020年,11217,鴻巣市,"94,696"
2020年,11218,深谷市,"133,595"
2020年,11219,上尾市,"189,660"
2020年,11221,草加市,"210,429"
2020年,11222,越谷市,"298,114"
2020年,11223,蕨市,"61,066"
2020年,11224,戸田市,"129,201"
2020年,11225,入間市,"129,463"
2020年,11227,朝霞市,"116,982"
2020年,11228,志木市,"59,930"
2020年,11229,和光市,"72,463"
2020年,11230,新座市,"146,065"
2020年,11231,桶川市,"62,763"
2020年,11232,久喜市,"141,711"
2020年,11233,北本市,"53,822"
2020年,11234,八潮市,"87,711"
2020年,11235,富士見市,"84,357"
2020年,11237,三郷市,"128,520"
2020年,11238,蓮田市,"51,632"
2020年,11239,坂戸市,"92,650"
2020年,11240,幸手市,"44,576"
2020年,11241,鶴ヶ島市,"59,006"
2020年,11242,日高市,"53,611"
2020年,11243,吉川市,"59,025"
2020年,11245,ふじみ野市,"93,778"
2020年,11246,白岡市,"41,711"
2020年,11301,伊奈町,"43,432"
2020年,11324,三芳町,"43,913"
2020年,11326,毛呂山町,"33,387"
2020年,11327,越生町,"10,051"
2020年,11341,滑川町,"18,658"
2020年,11342,嵐山町,"18,565"
2020年,11343,小川町,"24,181"
2020年,11346,川島町,"21,159"
2020年,11347,吉見町,"16,800"
2020年,11348,鳩山町,"13,161"
2020年,11349,ときがわ町,"9,811"
2020年,11361,横瀬町,"6,598"
2020年,11362,皆野町,"8,421"
2020年,11363,長瀞町,"5,960"
2020年,11365,小鹿野町,"10,336"
2020年,11369,東秩父村,"2,361"
2020年,11381,美里町,"11,778"
2020年,11383,神川町,"12,055"
2020年,11385,上里町,"26,471"
2020年,11408,寄居町,"32,134"
2020年,11442,宮代町,"27,806"
2020年,11464,杉戸町,"40,043"
2020年,11465,松伏町,"22,461"
2020年,12000,千葉県,"5,672,183"
2020年,12100,千葉市,"956,669"
2020年,12101,千葉市中央区,"258,877"
2020年,12102,千葉市花見川区,"141,585"
2020年,12103,千葉市稲毛区,"150,682"
2020年,12104,千葉市若葉区,"128,104"
2020年,12105,千葉市緑区,"104,899"
2020年,12106,千葉市美浜区,"172,522"
2020年,12202,銚子市,"57,920"
2020年,12203,市川市,"401,213"
2020年,12204,船橋市,"542,642"
2020年,12205,館山市,"46,470"
2020年,12206,木更津市,"133,208"
2020年,12207,松戸市,"410,359"
2020年,12208,野田市,"144,223"
2020年,12210,茂原市,"82,590"
2020年,12211,成田市,"161,969"
2020年,12212,佐倉市,"144,765"
2020年,12213,東金市,"57,978"
2020年,12215,旭市,"59,766"
2020年,12216,習志野市,"159,155"
2020年,12217,柏市,"391,317"
2020年,12218,勝浦市,"16,194"
2020年,12219,市原市,"256,438"
2020年,12220,流山市,"157,255"
2020年,12221,八千代市,"170,814"
2020年,12222,我孫子市,"106,108"
2020年,12223,鴨川市,"33,281"
2020年,12224,鎌ケ谷市,"88,724"
2020年,12225,君津市,"80,600"
2020年,12226,富津市,"40,178"
2020年,12227,浦安市,"164,509"
2020年,12228,四街道市,"78,056"
2020年,12229,袖ケ浦市,"60,982"
2020年,12230,八街市,"57,212"
2020年,12231,印西市,"92,936"
2020年,12232,白井市,"52,208"
2020年,12233,富里市,"43,060"
2020年,12234,南房総市,"32,434"
2020年,12235,匝瑳市,"33,447"
2020年,12236,香取市,"66,671"
2020年,12237,山武市,"43,370"
2020年,12238,いすみ市,"31,847"
2020年,12239,大網白里市,"36,853"
2020年,12322,酒々井町,"17,936"
2020年,12329,栄町,"15,282"
2020年,12342,神崎町,"5,060"
2020年,12347,多古町,"13,957"
2020年,12349,東庄町,"10,916"
2020年,12403,九十九里町,"12,871"
2020年,12409,芝山町,"11,332"
2020年,12410,横芝光町,"19,350"
2020年,12421,一宮町,"10,565"
2020年,12422,睦沢町,"5,663"
2020年,12423,長生村,"11,307"
2020年,12424,白子町,"8,556"
2020年,12426,長柄町,"7,191"
2020年,12427,長南町,"7,188"
2020年,12441,大多喜町,"9,569"
2020年,12443,御宿町,"5,942"
