Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
L,BVA,PAR,BEG,BEG,International,Apr-22,16,48.8575475,2.3513765,44.8125449,20.46123
M,CDG,PAR,FAO,FAO,International,Apr-22,1,48.8575475,2.3513765,37.7412488,-25.6755944
L,ORY,PAR,LPA,LPA,International,Apr-22,9,48.8575475,2.3513765,27.9202202,-15.5474373
M,CDG,PAR,CPH,CPH,International,Apr-22,6,48.8575475,2.3513765,55.6760968,12.5683371
M,ORY,PAR,FSC,FSC,Domestic,Apr-22,2,48.8575475,2.3513765,41.48734,9.130112
M,ORY,PAR,ORN,ORN,International,Apr-22,30,48.8575475,2.3513765,35.6987388,-0.6349319
L,ORY,PAR,XRY,XRY,International,Apr-22,9,48.8575475,2.3513765,28.2915637,-16.6291304
M,CDG,PAR,LHR,LON,International,Apr-22,75,48.8575475,2.3513765,51.5072178,-0.1275862
M,CDG,PAR,DTW,DTT,International,Apr-22,30,48.8575475,2.3513765,42.331427,-83.0457538
M,ORY,PAR,ALG,ALG,International,Apr-22,1,48.8575475,2.3513765,36.753768,3.0587561
M,CDG,PAR,EDI,EDI,International,Apr-22,12,48.8575475,2.3513765,55.953252,-3.188267
L,ORY,PAR,GLA,GLA,International,Apr-22,9,48.8575475,2.3513765,55.8616704,-4.2583345
L,ORY,PAR,SID,SID,International,Apr-22,5,48.8575475,2.3513765,16.7266152,-22.9297109
M,CDG,PAR,BEY,BEY,International,Apr-22,3,48.8575475,2.3513765,33.8937913,35.5017767
M,ORY,PAR,PTP,PTP,International,Apr-22,29,48.8575475,2.3513765,16.2370504,-61.5376272
M,CDG,PAR,CPH,CPH,International,Apr-22,8,48.8575475,2.3513765,55.6760968,12.5683371
M,CDG,PAR,LHR,LON,International,Apr-22,46,48.8575475,2.3513765,51.5072178,-0.1275862
M,CDG,PAR,ZAG,ZAG,International,Apr-22,29,48.8575475,2.3513765,45.8150108,15.981919
M,CDG,PAR,ATL,ATL,International,Apr-22,60,48.8575475,2.3513765,33.748752,-84.3876845
M,ORY,PAR,TUN,TUN,International,Apr-22,5,48.8575475,2.3513765,36.8064948,10.1815316
M,CDG,PAR,CTA,CTA,International,Apr-22,1,48.8575475,2.3513765,37.5078836,15.0830032
M,CDG,PAR,HEL,HEL,International,Apr-22,10,48.8575475,2.3513765,60.1698557,24.938379
M,CDG,PAR,YYC,YYC,International,Apr-22,12,48.8575475,2.3513765,51.0447331,-114.0718831
L,BVA,PAR,ZAG,ZAG,International,Apr-22,8,48.8575475,2.3513765,45.8150108,15.981919
M,CDG,PAR,JTR,JTR,International,Apr-22,2,48.8575475,2.3513765,36.3931562,25.4615092
M,CDG,PAR,DOH,DOH,International,Apr-22,13,48.8575475,2.3513765,25.2854473,51.5310398
L,ORY,PAR,EFL,EFL,International,Apr-22,3,48.8575475,2.3513765,38.1753675,20.5692179
M,CDG,PAR,ALG,ALG,International,Apr-22,2,48.8575475,2.3513765,36.753768,3.0587561
M,CDG,PAR,CPH,CPH,International,Apr-22,14,48.8575475,2.3513765,55.6760968,12.5683371
M,CDG,PAR,KEF,REK,International,Apr-22,10,48.8575475,2.3513765,64.1469868,-21.9407552
M,CDG,PAR,VLC,VLC,International,Apr-22,8,48.8575475,2.3513765,39.4738338,-0.3756348
L,ORY,PAR,DUB,DUB,International,Apr-22,25,48.8575475,2.3513765,53.3498053,-6.2603097
L,ORY,PAR,CZL,CZL,International,Apr-22,6,48.8575475,2.3513765,36.3570052,6.6390282
M,CDG,PAR,KIV,KIV,International,Apr-22,7,48.8575475,2.3513765,47.0104529,28.8638103
M,CDG,PAR,ARN,STO,International,Apr-22,7,48.8575475,2.3513765,59.3293235,18.0685808
M,CDG,PAR,UGC,UGC,International,Apr-22,1,48.8575475,2.3513765,41.5345323,60.6248891
M,ORY,PAR,MLA,MLA,International,Apr-22,22,48.8575475,2.3513765,35.937496,14.375416
M,CDG,PAR,DUB,DUB,International,Apr-22,120,48.8575475,2.3513765,53.3498053,-6.2603097
M,CDG,PAR,FCO,ROM,International,Apr-22,87,48.8575475,2.3513765,41.8967068,12.4822025
M,CDG,PAR,RUN,RUN,International,Apr-22,34,48.8575475,2.3513765,-20.9202586,55.5136433
M,CDG,PAR,DEL,DEL,International,Apr-22,1,48.8575475,2.3513765,28.7040592,77.1024902
L,ORY,PAR,FAO,FAO,International,Apr-22,17,48.8575475,2.3513765,37.7412488,-25.6755944
L,CDG,PAR,MAD,MAD,International,Apr-22,30,48.8575475,2.3513765,40.4167279,-3.7032905
M,CDG,PAR,SFO,SFO,International,Apr-22,12,48.8575475,2.3513765,37.7749295,-122.4194155
M,CDG,PAR,CAI,CAI,International,Apr-22,1,48.8575475,2.3513765,30.0444196,31.2357116
M,CDG,PAR,SCL,SCL,International,Apr-22,22,48.8575475,2.3513765,-33.4488897,-70.6692655
L,CDG,PAR,LCA,LCA,International,Apr-22,9,48.8575475,2.3513765,34.9182222,33.6200625
M,CDG,PAR,HND,TYO,International,Apr-22,1,48.8575475,2.3513765,35.6764225,139.650027
M,CDG,PAR,BER,BER,International,Apr-22,11,48.8575475,2.3513765,52.5200066,13.404954
M,CDG,PAR,BHX,BHX,International,Apr-22,33,48.8575475,2.3513765,52.4822694,-1.8900078
L,BVA,PAR,TRN,TRN,International,Apr-22,13,48.8575475,2.3513765,45.0703155,7.6868552
M,CDG,PAR,NSI,YAO,International,Apr-22,9,48.8575475,2.3513765,3.8616853,11.5202292
M,CDG,PAR,IAD,WAS,International,Apr-22,2,48.8575475,2.3513765,47.7510741,-120.7401386
L,ORY,PAR,BLL,BLL,International,Apr-22,8,48.8575475,2.3513765,55.728449,9.112366
L,ORY,PAR,OUD,OUD,International,Apr-22,17,48.8575475,2.3513765,34.681962,-1.900155
