Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency
L,KIX,OSA,KIJ,KIJ,Domestic,44682,31
M,KIX,OSA,SGN,SGN,International,44682,11
M,KIX,OSA,CDG,PAR,International,44682,13
M,KIX,OSA,TPE,TPE,International,44682,2
M,KIX,OSA,ICN,SEL,International,44682,8
M,ITM,OSA,NGS,NGS,Domestic,44682,31
M,KIX,OSA,SIN,SIN,International,44682,31
M,ITM,OSA,HND,TYO,Domestic,44682,64
M,ITM,OSA,KIJ,KIJ,Domestic,44682,60
M,ITM,OSA,KOJ,KOJ,Domestic,44682,31
L,KIX,OSA,ASJ,ASJ,Domestic,44682,31
M,ITM,OSA,KMJ,KMJ,Domestic,44682,62
M,ITM,OSA,OIT,OIT,Domestic,44682,93
M,UKB,OSA,MMJ,MMJ,Domestic,44682,62
M,ITM,OSA,MYJ,MYJ,Domestic,44682,62
M,ITM,OSA,SDJ,SDJ,Domestic,44682,62
M,ITM,OSA,KCZ,KCZ,Domestic,44682,186
M,KIX,OSA,HND,TYO,Domestic,44682,53
L,KIX,OSA,OKA,OKA,Domestic,44682,155
M,ITM,OSA,HND,TYO,Domestic,44682,187
M,ITM,OSA,MYJ,MYJ,Domestic,44682,62
M,ITM,OSA,FUK,FUK,Domestic,44682,84
M,ITM,OSA,HND,TYO,Domestic,44682,63
M,ITM,OSA,AOJ,AOJ,Domestic,44682,93
M,ITM,OSA,MYJ,MYJ,Domestic,44682,205
M,KIX,OSA,ICN,SEL,International,44682,3
M,UKB,OSA,AOJ,AOJ,Domestic,44682,31
L,UKB,OSA,SDJ,SDJ,Domestic,44682,62
L,UKB,OSA,NGS,NGS,Domestic,44682,93
M,KIX,OSA,HND,TYO,Domestic,44682,13
M,ITM,OSA,AXT,AXT,Domestic,44682,93
M,ITM,OSA,OKA,OKA,Domestic,44682,53
L,KIX,OSA,ISG,ISG,Domestic,44682,62
M,ITM,OSA,IZO,IZO,Domestic,44682,93
M,UKB,OSA,KCZ,KCZ,Domestic,44682,31
M,KIX,OSA,HKG,HKG,International,44682,4
M,ITM,OSA,KMI,KMI,Domestic,44682,92
L,KIX,OSA,NRT,TYO,Domestic,44682,31
L,KIX,OSA,TPE,TPE,International,44682,1
L,KIX,OSA,SDJ,SDJ,Domestic,44682,113
M,ITM,OSA,GAJ,GAJ,Domestic,44682,93
M,ITM,OSA,FUK,FUK,Domestic,44682,31
M,ITM,OSA,HND,TYO,Domestic,44682,89
M,KIX,OSA,MNL,MNL,International,44682,31
M,ITM,OSA,ASJ,ASJ,Domestic,44682,31
L,KIX,OSA,NRT,TYO,Domestic,44682,194
M,ITM,OSA,OKA,OKA,Domestic,44682,31
L,UKB,OSA,OKA,OKA,Domestic,44682,129
M,KIX,OSA,TPE,TPE,International,44682,12
L,KIX,OSA,KOJ,KOJ,Domestic,44682,62
M,ITM,OSA,NGS,NGS,Domestic,44682,124
M,ITM,OSA,KMJ,KMJ,Domestic,44682,31
M,ITM,OSA,CTS,SPK,Domestic,44682,2
M,ITM,OSA,KIJ,KIJ,Domestic,44682,60
L,KIX,OSA,MNL,MNL,International,44682,3
L,KIX,OSA,OKA,OKA,Domestic,44682,31
M,ITM,OSA,KMJ,KMJ,Domestic,44682,62
M,KIX,OSA,HNL,HNL,International,44682,4
M,KIX,OSA,HND,TYO,Domestic,44682,31
M,ITM,OSA,CTS,SPK,Domestic,44682,31
M,ITM,OSA,HND,TYO,Domestic,44682,34
M,ITM,OSA,SDJ,SDJ,Domestic,44682,31
M,ITM,OSA,NGS,NGS,Domestic,44682,93
M,ITM,OSA,IZO,IZO,Domestic,44682,31
M,ITM,OSA,HND,TYO,Domestic,44682,6
L,KIX,OSA,NGS,NGS,Domestic,44682,51
M,ITM,OSA,HNA,HNA,Domestic,44682,124
M,KIX,OSA,OKA,OKA,Domestic,44682,37
M,ITM,OSA,HKD,HKD,Domestic,44682,31
