Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency
M,FUK,FUK,TPE,TPE,International,Jun-22,15
M,FUK,FUK,KIJ,KIJ,Domestic,Jun-22,30
L,FUK,FUK,ISG,ISG,Domestic,Jun-22,30
L,FUK,FUK,OKA,OKA,Domestic,Jun-22,115
M,FUK,FUK,CTS,SPK,Domestic,Jun-22,29
L,FUK,FUK,MNL,MNL,International,Jun-22,4
L,FUK,FUK,HND,TYO,Domestic,Jun-22,360
L,FUK,FUK,OKA,OKA,Domestic,Jun-22,30
M,FUK,FUK,IZO,IZO,Domestic,Jun-22,60
M,FUK,FUK,NGO,NGO,Domestic,Jun-22,30
M,FUK,FUK,HND,TYO,Domestic,Jun-22,5
M,FUK,FUK,MNL,MNL,International,Jun-22,1
M,FUK,FUK,HND,TYO,Domestic,Jun-22,240
M,FUK,FUK,ASJ,ASJ,Domestic,Jun-22,30
M,FUK,FUK,OKA,OKA,Domestic,Jun-22,90
M,FUK,FUK,SDJ,SDJ,Domestic,Jun-22,150
L,FUK,FUK,KIX,OSA,Domestic,Jun-22,30
M,FUK,FUK,KIJ,KIJ,Domestic,Jun-22,60
M,FUK,FUK,HND,TYO,Domestic,Jun-22,207
M,FUK,FUK,OKA,OKA,Domestic,Jun-22,171
M,FUK,FUK,HNA,HNA,Domestic,Jun-22,30
M,FUK,FUK,TPE,TPE,International,Jun-22,8
L,FUK,FUK,NGO,NGO,Domestic,Jun-22,102
M,FUK,FUK,ITM,OSA,Domestic,Jun-22,30
L,FUK,FUK,NRT,TYO,Domestic,Jun-22,51
M,FUK,FUK,PUS,PUS,International,Jun-22,4
L,FUK,FUK,NRT,TYO,Domestic,Jun-22,308
M,FUK,FUK,HND,TYO,Domestic,Jun-22,21
M,FUK,FUK,HKG,HKG,International,Jun-22,9
M,FUK,FUK,HND,TYO,Domestic,Jun-22,30
L,FUK,FUK,CTS,SPK,Domestic,Jun-22,30
M,FUK,FUK,HND,TYO,Domestic,Jun-22,11
M,FUK,FUK,KUM,KUM,Domestic,Jun-22,30
M,FUK,FUK,HND,TYO,Domestic,Jun-22,3
L,FUK,FUK,IBR,IBR,Domestic,Jun-22,30
M,FUK,FUK,CTS,SPK,Domestic,Jun-22,1
M,FUK,FUK,HND,TYO,Domestic,Jun-22,30
M,FUK,FUK,NGO,NGO,Domestic,Jun-22,37
M,FUK,FUK,HND,TYO,Domestic,Jun-22,299
M,FUK,FUK,TPE,TPE,International,Jun-22,4
M,FUK,FUK,OKA,OKA,Domestic,Jun-22,4
M,FUK,FUK,NGO,NGO,Domestic,Jun-22,210
L,FUK,FUK,ICN,SEL,International,Jun-22,17
M,FUK,FUK,MNL,MNL,International,Jun-22,23
M,FUK,FUK,KMI,KMI,Domestic,Jun-22,210
M,FUK,FUK,ITM,OSA,Domestic,Jun-22,1
M,FUK,FUK,FSZ,FSZ,Domestic,Jun-22,120
L,FUK,FUK,CTS,SPK,Domestic,Jun-22,30
M,FUK,FUK,SIN,SIN,International,Jun-22,9
M,FUK,FUK,OKA,OKA,Domestic,Jun-22,127
M,FUK,FUK,KOJ,KOJ,Domestic,Jun-22,30
M,FUK,FUK,ITM,OSA,Domestic,Jun-22,60
M,FUK,FUK,AXJ,AXJ,Domestic,Jun-22,90
M,FUK,FUK,ITM,OSA,Domestic,Jun-22,60
M,FUK,FUK,NGO,NGO,Domestic,Jun-22,1
M,FUK,FUK,ITM,OSA,Domestic,Jun-22,30
M,FUK,FUK,HND,TYO,Domestic,Jun-22,60
M,FUK,FUK,TPE,TPE,International,Jun-22,12
M,FUK,FUK,TSJ,TSJ,Domestic,Jun-22,150
M,FUK,FUK,HND,TYO,Domestic,Jun-22,135
M,FUK,FUK,HAN,HAN,International,Jun-22,4
M,FUK,FUK,CTS,SPK,Domestic,Jun-22,60
L,FUK,FUK,KIX,OSA,Domestic,Jun-22,64
M,FUK,FUK,HND,TYO,Domestic,Jun-22,136
M,FUK,FUK,MYJ,MYJ,Domestic,Jun-22,120
M,FUK,FUK,ICN,SEL,International,Jun-22,5
M,FUK,FUK,HND,TYO,Domestic,Jun-22,25
M,FUK,FUK,NKM,NGO,Domestic,Jun-22,150
L,FUK,FUK,OKA,OKA,Domestic,Jun-22,90
M,FUK,FUK,ICN,SEL,International,Jun-22,1
L,FUK,FUK,OKA,OKA,Domestic,Jun-22,22
M,FUK,FUK,FUJ,FUJ,Domestic,Jun-22,90
L,FUK,FUK,NRT,TYO,Domestic,Jul-22,30
M,FUK,FUK,MNL,MNL,International,Jul-22,30
M,FUK,FUK,PUS,PUS,International,Jul-22,1
M,FUK,FUK,KCZ,KCZ,Domestic,Jul-22,62
L,FUK,FUK,NRT,TYO,Domestic,Jul-22,310
M,FUK,FUK,ITM,OSA,Domestic,Jul-22,93
L,FUK,FUK,CTS,SPK,Domestic,Jul-22,33
M,FUK,FUK,HND,TYO,Domestic,Jul-22,57
M,FUK,FUK,NGO,NGO,Domestic,Jul-22,217
M,FUK,FUK,ITM,OSA,Domestic,Jul-22,31
M,FUK,FUK,SIN,SIN,International,Jul-22,9
M,FUK,FUK,FSZ,FSZ,Domestic,Jul-22,124
M,FUK,FUK,SDJ,SDJ,Domestic,Jul-22,62
L,FUK,FUK,HND,TYO,Domestic,Jul-22,372
M,FUK,FUK,HND,TYO,Domestic,Jul-22,62
M,FUK,FUK,HND,TYO,Domestic,Jul-22,190
M,FUK,FUK,NGO,NGO,Domestic,Jul-22,31
M,FUK,FUK,HND,TYO,Domestic,Jul-22,5
M,FUK,FUK,SGN,SGN,International,Jul-22,10
M,FUK,FUK,CTS,SPK,Domestic,Jul-22,62
M,FUK,FUK,HND,TYO,Domestic,Jul-22,47
M,FUK,FUK,HND,TYO,Domestic,Jul-22,77
M,FUK,FUK,HAN,HAN,International,Jul-22,1
M,FUK,FUK,OKA,OKA,Domestic,Jul-22,93
M,FUK,FUK,MYJ,MYJ,Domestic,Jul-22,124
M,FUK,FUK,KIJ,KIJ,Domestic,Jul-22,31
M,FUK,FUK,ITM,OSA,Domestic,Jul-22,31
M,FUK,FUK,MMJ,MMJ,Domestic,Jul-22,62
M,FUK,FUK,HND,TYO,Domestic,Jul-22,135
M,FUK,FUK,SDJ,SDJ,Domestic,Jul-22,155
M,FUK,FUK,HND,TYO,Domestic,Jul-22,1
M,FUK,FUK,ITM,OSA,Domestic,Jul-22,62
M,FUK,FUK,ICN,SEL,International,Jul-22,4
M,FUK,FUK,HND,TYO,Domestic,Jul-22,5
L,FUK,FUK,NRT,TYO,Domestic,Jul-22,56
M,FUK,FUK,HKG,HKG,International,Jul-22,8
M,FUK,FUK,PUS,PUS,International,Jul-22,7
M,FUK,FUK,HND,TYO,Domestic,Jul-22,1
M,FUK,FUK,TPE,TPE,International,Jul-22,8
