Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,EWR,NYC,DFW,DFW,Domestic,Apr-22,50,40.7127753,-74.0059728,32.7078751,-96.9209135
M,EWR,NYC,RDU,RDU,Domestic,Apr-22,64,40.7127753,-74.0059728,35.9940329,-78.898619
L,JFK,NYC,LAS,LAS,Domestic,Apr-22,25,40.7127753,-74.0059728,36.171563,-115.1391009
M,LGA,NYC,MIA,MIA,Domestic,Apr-22,4,40.7127753,-74.0059728,25.7616798,-80.1917902
L,LGA,NYC,PBI,PBI,Domestic,Apr-22,60,40.7127753,-74.0059728,26.7153424,-80.0533746
L,LGA,NYC,FLL,FLL,Domestic,Apr-22,1,40.7127753,-74.0059728,26.1224386,-80.1373174
M,EWR,NYC,AUA,AUA,International,Apr-22,60,40.7127753,-74.0059728,12.52111,-69.968338
M,JFK,NYC,SAL,SAL,International,Apr-22,7,40.7127753,-74.0059728,13.6929403,-89.2181911
L,EWR,NYC,SRQ,SRQ,Domestic,Apr-22,6,40.7127753,-74.0059728,27.4989278,-82.5748194
M,LGA,NYC,BNA,BNA,Domestic,Apr-22,30,40.7127753,-74.0059728,36.1626638,-86.7816016
L,JFK,NYC,FLL,FLL,Domestic,Apr-22,174,40.7127753,-74.0059728,26.1224386,-80.1373174
M,EWR,NYC,BNA,BNA,Domestic,Apr-22,2,40.7127753,-74.0059728,36.1626638,-86.7816016
L,JFK,NYC,RSW,FMY,Domestic,Apr-22,1,40.7127753,-74.0059728,26.640628,-81.8723084
M,JFK,NYC,MIA,MIA,Domestic,Apr-22,33,40.7127753,-74.0059728,25.7616798,-80.1917902
M,LGA,NYC,YUL,YMQ,International,Apr-22,154,40.7127753,-74.0059728,45.5018869,-73.5673919
M,LGA,NYC,RSW,FMY,Domestic,Apr-22,60,40.7127753,-74.0059728,26.640628,-81.8723084
M,JFK,NYC,STT,STT,International,Apr-22,30,40.7127753,-74.0059728,18.3380965,-64.8940946
M,JFK,NYC,PBI,PBI,Domestic,Apr-22,50,40.7127753,-74.0059728,26.7153424,-80.0533746
L,JFK,NYC,LHR,LON,International,Apr-22,30,40.7127753,-74.0059728,51.5072178,-0.1275862
