Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon
M,LHR,LON,PHX,PHX,International,Apr-22,1,51.5072178,-0.1275862,33.4483771,-112.0740373
L,STN,LON,TLS,TLS,International,Apr-22,43,51.5072178,-0.1275862,43.6048462,1.442848
M,LHR,LON,CPH,CPH,International,Apr-22,40,51.5072178,-0.1275862,55.6760968,12.5683371
M,LHR,LON,CDG,PAR,International,Apr-22,3,51.5072178,-0.1275862,48.8575475,2.3513765
M,LHR,LON,LIS,LIS,International,Apr-22,12,51.5072178,-0.1275862,37.7412488,-25.6755944
L,LTN,LON,NCE,NCE,International,Apr-22,38,51.5072178,-0.1275862,43.7101728,7.2619532
M,LHR,LON,BEY,BEY,International,Apr-22,14,51.5072178,-0.1275862,33.8937913,35.5017767
M,LGW,LON,FAO,FAO,International,Apr-22,8,51.5072178,-0.1275862,37.7412488,-25.6755944
L,STN,LON,MST,MST,International,Apr-22,9,51.5072178,-0.1275862,50.8513682,5.6909725
L,LGW,LON,FUE,FUE,International,Apr-22,22,51.5072178,-0.1275862,28.3587436,-14.053676
L,LTN,LON,PRG,PRG,International,Apr-22,17,51.5072178,-0.1275862,50.0755381,14.4378005
L,LGW,LON,OLB,OLB,International,Apr-22,12,51.5072178,-0.1275862,40.9236401,9.4964224
L,STN,LON,SZZ,SZZ,International,Apr-22,21,51.5072178,-0.1275862,53.4285438,14.5528116
L,LTN,LON,PMI,PMI,International,Apr-22,5,51.5072178,-0.1275862,39.5726541,2.6568551
M,LHR,LON,LAX,LAX,International,Apr-22,14,51.5072178,-0.1275862,34.0549076,-118.242643
M,LHR,LON,BLQ,BLQ,International,Apr-22,96,51.5072178,-0.1275862,44.494887,11.3426163
L,STN,LON,DUB,DUB,International,Apr-22,226,51.5072178,-0.1275862,53.3498053,-6.2603097
M,LGW,LON,TPA,TPA,International,Apr-22,12,51.5072178,-0.1275862,27.9516896,-82.4587527
M,LGW,LON,RAK,RAK,International,Apr-22,5,51.5072178,-0.1275862,31.6225224,-7.9898258
M,LHR,LON,TAS,TAS,International,Apr-22,1,51.5072178,-0.1275862,41.2994958,69.2400734
M,LHR,LON,MCO,ORL,International,Apr-22,31,51.5072178,-0.1275862,28.5383832,-81.3789269
M,LHR,LON,OPO,OPO,International,Apr-22,2,51.5072178,-0.1275862,37.7412488,-25.6755944
M,LHR,LON,FCO,ROM,International,Apr-22,1,51.5072178,-0.1275862,41.8967068,12.4822025
