Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
M,HND,TYO,ISG,ISG,Domestic,22-Apr,17,35.6811673,139.7670516,24.3406856,124.1555837,ISHIGAKI,Japan
M,NRT,TYO,CGK,JKT,International,22-Apr,22,35.6811673,139.7670516,-6.1944491,106.8229198,JAKARTA,Indonesia
L,NRT,TYO,TNA,TNA,International,22-Apr,1,35.6811673,139.7670516,36.6518399,117.12009,JINAN,"China, People’s Republic of"
M,HND,TYO,ISG,ISG,Domestic,22-Apr,6,35.6811673,139.7670516,24.3406856,124.1555837,ISHIGAKI,Japan
M,NRT,TYO,SIN,SIN,International,22-Apr,17,35.6811673,139.7670516,1.2830173,103.8513365,SINGAPORE,Singapore
M,NRT,TYO,LAX,LAX,International,22-Apr,30,35.6811673,139.7670516,34.0549076,-118.242643,LOS ANGELES,United States of America
M,HND,TYO,KMI,KMI,Domestic,22-Apr,35,35.6811673,139.7670516,31.9077285,131.4202196,MIYAZAKI,Japan
M,HND,TYO,SDJ,SDJ,Domestic,22-Apr,2,35.6811673,139.7670516,38.268195,140.869418,SENDAI,Japan
M,HND,TYO,NGS,NGS,Domestic,22-Apr,93,35.6811673,139.7670516,32.7503334,129.8778888,NAGASAKI,Japan
L,HND,TYO,NGS,NGS,Domestic,22-Apr,120,35.6811673,139.7670516,32.7503334,129.8778888,NAGASAKI,Japan
M,HND,TYO,SDJ,SDJ,Domestic,22-Apr,1,35.6811673,139.7670516,38.268195,140.869418,SENDAI,Japan
M,HND,TYO,KIX,OSA,Domestic,22-Apr,57,35.6811673,139.7670516,34.6937249,135.5022535,OSAKA,Japan
L,NRT,TYO,KCZ,KCZ,Domestic,22-Apr,30,35.6811673,139.7670516,33.5588821,133.5312383,KOCHI,Japan
M,HND,TYO,KCZ,KCZ,Domestic,22-Apr,110,35.6811673,139.7670516,33.5588821,133.5312383,KOCHI,Japan
M,HND,TYO,AKJ,AKJ,Domestic,22-Apr,29,35.6811673,139.7670516,43.7708833,142.3650083,ASAHIKAWA,Japan
M,HND,TYO,KMI,KMI,Domestic,22-Apr,1,35.6811673,139.7670516,31.9077285,131.4202196,MIYAZAKI,Japan
L,NRT,TYO,SDJ,SDJ,Domestic,22-Apr,7,35.6811673,139.7670516,38.268195,140.869418,SENDAI,Japan
L,NRT,TYO,ASJ,ASJ,Domestic,22-Apr,30,35.6811673,139.7670516,27.7005538,128.8205454,AMAMI,Japan
M,NRT,TYO,TAO,TAO,International,22-Apr,4,35.6811673,139.7670516,36.0662299,120.38299,QINGDAO,"China, People’s Republic of"
M,HND,TYO,OBO,OBO,Domestic,22-Apr,22,35.6811673,139.7670516,42.9233354,143.197199,OBIHIRO,Japan
