Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
L,SIN,SIN,CRK,CRK,International,22-Apr,54,1.2830173,103.8513365,#N/A,#N/A,#N/A,#N/A
M,SIN,SIN,SYD,SYD,International,22-Apr,5,1.2830173,103.8513365,-33.8688197,151.2092955,SYDNEY,Australia
L,SIN,SIN,HDY,HDY,International,22-Apr,7,1.2830173,103.8513365,7.0086472,100.4746879,HAT YAI,Thailand
M,SIN,SIN,KTM,KTM,International,22-Apr,4,1.2830173,103.8513365,27.7172453,85.3239605,KATHMANDU,Nepal
M,SIN,SIN,DAC,DAC,International,22-Apr,20,1.2830173,103.8513365,23.804093,90.4152376,DHAKA,Bangladesh
M,SIN,SIN,HKG,HKG,International,22-Apr,25,1.2830173,103.8513365,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,SIN,SIN,ADL,ADL,International,22-Apr,25,1.2830173,103.8513365,-34.9284989,138.6007456,ADELAIDE,Australia
M,SIN,SIN,CPH,CPH,International,22-Apr,21,1.2830173,103.8513365,55.6760968,12.5683371,COPENHAGEN,Denmark
L,SIN,SIN,HKG,HKG,International,22-Apr,4,1.2830173,103.8513365,22.3193039,114.1693611,HONG KONG,"Hong Kong (SAR), China"
M,SIN,SIN,DEL,DEL,International,22-Apr,14,1.2830173,103.8513365,28.7040592,77.1024902,DELHI,India (including Andaman Isl.)
M,SIN,SIN,FRA,FRA,International,22-Apr,30,1.2830173,103.8513365,50.1109221,8.6821267,FRANKFURT,Germany
M,SIN,SIN,RGN,RGN,International,22-Apr,4,1.2830173,103.8513365,16.840939,96.173526,YANGON,Myanmar
M,SIN,SIN,CGK,JKT,International,22-Apr,2,1.2830173,103.8513365,-6.1944491,106.8229198,JAKARTA,Indonesia
M,SIN,SIN,BKK,BKK,International,22-Apr,1,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
L,SIN,SIN,HKT,HKT,International,22-Apr,22,1.2830173,103.8513365,7.8804479,98.3922504,PHUKET,Thailand
L,SIN,SIN,PNH,PNH,International,22-Apr,21,1.2830173,103.8513365,11.5563738,104.9282099,PHNOM PENH,Cambodia
M,SIN,SIN,CGK,JKT,International,22-Apr,49,1.2830173,103.8513365,-6.1944491,106.8229198,JAKARTA,Indonesia
M,SIN,SIN,DXB,DXB,International,22-Apr,29,1.2830173,103.8513365,25.2048493,55.2707828,DUBAI,United Arab Emirates
L,SIN,SIN,IPH,IPH,International,22-Apr,36,1.2830173,103.8513365,4.6005126,101.0757837,IPOH,Malaysia
M,SIN,SIN,CMB,CMB,International,22-Apr,6,1.2830173,103.8513365,6.9270786,79.861243,COLOMBO,Sri Lanka
L,SIN,SIN,SGN,SGN,International,22-Apr,43,1.2830173,103.8513365,10.8230989,106.6296638,HO CHI MINH CITY,Vietnam
L,SIN,SIN,MNL,MNL,International,22-Apr,30,1.2830173,103.8513365,14.5995124,120.9842195,MANILA,Philippines
M,SIN,SIN,PER,PER,International,22-Apr,13,1.2830173,103.8513365,-31.9513993,115.8616783,PERTH,Australia
M,SIN,SIN,BKK,BKK,International,22-Apr,10,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
M,SIN,SIN,PER,PER,International,22-Apr,60,1.2830173,103.8513365,-31.9513993,115.8616783,PERTH,Australia
M,SIN,SIN,AKL,AKL,International,22-Apr,5,1.2830173,103.8513365,-36.8508827,174.7644881,AUCKLAND,New Zealand
M,SIN,SIN,HKT,HKT,International,22-Apr,4,1.2830173,103.8513365,7.8804479,98.3922504,PHUKET,Thailand
M,SIN,SIN,NRT,TYO,International,22-Apr,17,1.2830173,103.8513365,35.6811673,139.7670516,TOKYO,Japan
M,SIN,SIN,CGK,JKT,International,22-Apr,1,1.2830173,103.8513365,-6.1944491,106.8229198,JAKARTA,Indonesia
L,SIN,SIN,DPS,DPS,International,22-Apr,30,1.2830173,103.8513365,-8.3405389,115.0919509,BALI ISLAND,Indonesia
M,SIN,SIN,PEN,PEN,International,22-Apr,47,1.2830173,103.8513365,5.2632341,100.4846227,PENANG,Malaysia
L,SIN,SIN,TRZ,TRZ,International,22-Apr,60,1.2830173,103.8513365,10.7904833,78.7046725,TIRUCHCHIRAPPALLI,India (including Andaman Isl.)
M,SIN,SIN,DPS,DPS,International,22-Apr,60,1.2830173,103.8513365,-8.3405389,115.0919509,BALI ISLAND,Indonesia
L,SIN,SIN,BKK,BKK,International,22-Apr,30,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
L,SIN,SIN,TRZ,TRZ,International,22-Apr,30,1.2830173,103.8513365,10.7904833,78.7046725,TIRUCHCHIRAPPALLI,India (including Andaman Isl.)
M,SIN,SIN,BWN,BWN,International,22-Apr,8,1.2830173,103.8513365,4.8923413,114.9419021,BANDAR SERI BEGAWAN,Brunei Darussalam
M,SIN,SIN,LAX,LAX,International,22-Apr,2,1.2830173,103.8513365,34.0549076,-118.242643,LOS ANGELES,United States of America
L,SIN,SIN,HKT,HKT,International,22-Apr,14,1.2830173,103.8513365,7.8804479,98.3922504,PHUKET,Thailand
M,SIN,SIN,HEL,HEL,International,22-Apr,26,1.2830173,103.8513365,60.1698557,24.938379,HELSINKI,Finland
M,SIN,SIN,NAN,NAN,International,22-Apr,2,1.2830173,103.8513365,-17.7806257,177.4298961,NADI,Fiji
M,SIN,SIN,HYD,HYD,International,22-Apr,30,1.2830173,103.8513365,17.406498,78.4772439,HYDERABAD,India (including Andaman Isl.)
M,SIN,SIN,BLR,BLR,International,22-Apr,30,1.2830173,103.8513365,12.9715987,77.5945627,BENGALURU,India (including Andaman Isl.)
M,SIN,SIN,ZRH,ZRH,International,22-Apr,8,1.2830173,103.8513365,47.3768866,8.541694,ZURICH,Switzerland
M,SIN,SIN,MAA,MAA,International,22-Apr,30,1.2830173,103.8513365,13.0930694,80.2888899,CHENNAI,India (including Andaman Isl.)
L,SIN,SIN,BKK,BKK,International,22-Apr,30,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
M,SIN,SIN,AMS,AMS,International,22-Apr,30,1.2830173,103.8513365,52.3675734,4.9041389,AMSTERDAM,Netherlands
M,SIN,SIN,TPE,TPE,International,22-Apr,8,1.2830173,103.8513365,25.0329636,121.5654268,TAIPEI,Chinese Taipei
M,SIN,SIN,HKT,HKT,International,22-Apr,33,1.2830173,103.8513365,7.8804479,98.3922504,PHUKET,Thailand
M,SIN,SIN,SUB,SUB,International,22-Apr,3,1.2830173,103.8513365,-7.2574719,112.7520883,SURABAYA,Indonesia
L,SIN,SIN,MDC,MDC,International,22-Apr,9,1.2830173,103.8513365,1.4748305,124.8420794,MANADO,Indonesia
M,SIN,SIN,LAX,LAX,International,22-Apr,36,1.2830173,103.8513365,34.0549076,-118.242643,LOS ANGELES,United States of America
M,SIN,SIN,BKK,BKK,International,22-Apr,9,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
M,SIN,SIN,MNL,MNL,International,22-Apr,41,1.2830173,103.8513365,14.5995124,120.9842195,MANILA,Philippines
L,SIN,SIN,DMK,BKK,International,22-Apr,8,1.2830173,103.8513365,13.7563309,100.5017651,BANGKOK,Thailand
M,SIN,SIN,FUK,FUK,International,22-Apr,9,1.2830173,103.8513365,33.5901838,130.4016888,FUKUOKA,Japan
M,SIN,SIN,RGN,RGN,International,22-Apr,7,1.2830173,103.8513365,16.840939,96.173526,YANGON,Myanmar
M,SIN,SIN,KUL,KUL,International,22-Apr,70,1.2830173,103.8513365,3.1319197,101.6840589,KUALA LUMPUR,Malaysia
M,SIN,SIN,NRT,TYO,International,22-Apr,18,1.2830173,103.8513365,35.6811673,139.7670516,TOKYO,Japan
M,SIN,SIN,ICN,SEL,International,22-Apr,1,1.2830173,103.8513365,37.5652129,126.9773517,SEOUL,Korea (Rep. of)
M,SIN,SIN,AKL,AKL,International,22-Apr,13,1.2830173,103.8513365,-36.8508827,174.7644881,AUCKLAND,New Zealand
M,SIN,SIN,CGK,JKT,International,22-Apr,13,1.2830173,103.8513365,-6.1944491,106.8229198,JAKARTA,Indonesia
M,SIN,SIN,CMB,CMB,International,22-Apr,1,1.2830173,103.8513365,6.9270786,79.861243,COLOMBO,Sri Lanka
M,SIN,SIN,LHR,LON,International,22-Apr,30,1.2830173,103.8513365,51.5031653,-0.1123051,LONDON,United Kingdom
M,SIN,SIN,HEL,HEL,International,22-Apr,2,1.2830173,103.8513365,60.1698557,24.938379,HELSINKI,Finland
M,SIN,SIN,LHR,LON,International,22-Apr,30,1.2830173,103.8513365,51.5031653,-0.1123051,LONDON,United Kingdom
M,SIN,SIN,MEL,MEL,International,22-Apr,30,1.2830173,103.8513365,-37.8136276,144.9630576,MELBOURNE,Australia
