Mainline/Low Cost,Dep Airport Code,Dep City Code,Arr Airport Code,Arr City Code,International/Domestic,Time series,Frequency,dep_lat,dep_lon,arr_lat,arr_lon,Arr City Name,Arr Country Name
M,FUK,FUK,TPE,TPE,International,22-May,7,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
L,FUK,FUK,MNL,MNL,International,22-May,5,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
M,FUK,FUK,TPE,TPE,International,22-May,13,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
M,FUK,FUK,HND,TYO,Domestic,22-May,275,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,ASJ,ASJ,Domestic,22-May,31,33.5901838,130.4016888,27.7005538,128.8205454,AMAMI,Japan
M,FUK,FUK,CTS,SPK,Domestic,22-May,30,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-May,83,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-May,31,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,119,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
L,FUK,FUK,KIX,OSA,Domestic,22-May,31,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,TPE,TPE,International,22-May,12,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
M,FUK,FUK,HND,TYO,Domestic,22-May,4,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,266,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,62,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
L,FUK,FUK,OKA,OKA,Domestic,22-May,124,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,5,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,KMI,KMI,Domestic,22-May,217,33.5901838,130.4016888,31.9077285,131.4202196,MIYAZAKI,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,11,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,HND,TYO,Domestic,22-May,38,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,MNL,MNL,International,22-May,17,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
M,FUK,FUK,KMQ,KMQ,Domestic,22-May,116,33.5901838,130.4016888,36.4084209,136.4458532,KOMATSU,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-May,62,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,SIN,SIN,International,22-May,8,33.5901838,130.4016888,1.352083,103.819836,SINGAPORE,Singapore
M,FUK,FUK,SDJ,SDJ,Domestic,22-Jun,60,33.5901838,130.4016888,38.268195,140.869418,SENDAI,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-Jun,30,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,37,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,KCZ,KCZ,Domestic,22-Jun,60,33.5901838,130.4016888,33.5588821,133.5312383,KOCHI,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,67,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,TKS,TKS,Domestic,22-Jun,60,33.5901838,130.4016888,34.0703652,134.5549537,TOKUSHIMA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,10,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,MNL,MNL,International,22-Jun,6,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
M,FUK,FUK,HND,TYO,Domestic,22-Jun,1,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,ITM,OSA,Domestic,22-Jun,89,33.5901838,130.4016888,34.6937249,135.5022535,OSAKA,Japan
M,FUK,FUK,SGN,SGN,International,22-Jun,4,33.5901838,130.4016888,10.8230989,106.6296638,HO CHI MINH CITY,Vietnam
M,FUK,FUK,KMI,KMI,Domestic,22-Jun,180,33.5901838,130.4016888,31.9077285,131.4202196,MIYAZAKI,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,3,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,KMQ,KMQ,Domestic,22-Jun,120,33.5901838,130.4016888,36.4084209,136.4458532,KOMATSU,Japan
M,FUK,FUK,ICN,SEL,International,22-Jun,12,33.5901838,130.4016888,37.550263,126.9970831,SEOUL,Korea (Rep. of)
M,FUK,FUK,TPE,TPE,International,22-Jun,15,33.5901838,130.4016888,25.0329694,121.5654177,TAIPEI,Chinese Taipei
L,FUK,FUK,ISG,ISG,Domestic,22-Jun,30,33.5901838,130.4016888,24.3406856,124.1555837,ISHIGAKI,Japan
L,FUK,FUK,OKA,OKA,Domestic,22-Jun,115,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,CTS,SPK,Domestic,22-Jun,29,33.5901838,130.4016888,43.0617713,141.3544506,SAPPORO,Japan
L,FUK,FUK,MNL,MNL,International,22-Jun,4,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
L,FUK,FUK,HND,TYO,Domestic,22-Jun,360,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
L,FUK,FUK,OKA,OKA,Domestic,22-Jun,30,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,IZO,IZO,Domestic,22-Jun,60,33.5901838,130.4016888,35.3670442,132.7546943,IZUMO,Japan
M,FUK,FUK,NGO,NGO,Domestic,22-Jun,30,33.5901838,130.4016888,35.1814506,136.9065571,NAGOYA,Japan
M,FUK,FUK,HND,TYO,Domestic,22-Jun,5,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,MNL,MNL,International,22-Jun,1,33.5901838,130.4016888,14.5995124,120.9842195,MANILA,Philippines
M,FUK,FUK,HND,TYO,Domestic,22-Jun,240,33.5901838,130.4016888,35.6764225,139.650027,TOKYO,Japan
M,FUK,FUK,ASJ,ASJ,Domestic,22-Jun,30,33.5901838,130.4016888,27.7005538,128.8205454,AMAMI,Japan
M,FUK,FUK,OKA,OKA,Domestic,22-Jun,90,33.5901838,130.4016888,26.3343533,127.8056058,OKINAWA,Japan
M,FUK,FUK,SDJ,SDJ,Domestic,22-Jun,150,33.5901838,130.4016888,38.268195,140.869418,SENDAI,Japan
